feature,importance
ohe__block_855,0.00046707405
ohe__block_53,0.000464337
ohe__block_216A,0.000463549
ohe__block_80,0.0004628805
ohe__block_440C,0.00046170887
ohe__block_82B,0.00046008444
ohe__block_978,0.0004599697
ohe__block_3B,0.00045761905
ohe__block_288A,0.0004561746
ohe__block_650,0.00045299123
ohe__block_605,0.00045235245
ohe__block_43,0.0004510756
ohe__block_132,0.00044815594
ohe__block_259C,0.00044717485
ohe__block_2,0.0004471313
ohe__block_525,0.00044086584
ohe__block_2C,0.00043622113
ohe__block_12,0.00043541953
ohe__block_263,0.0004346618
ohe__block_682C,0.0004330035
ohe__block_856E,0.00043296674
ohe__block_58,0.0004327633
ohe__block_452,0.00043225646
ohe__block_498J,0.0004316985
ohe__block_310,0.00043148984
ohe__block_383,0.00043143562
ohe__block_790,0.00042883644
ohe__block_18A,0.0004271554
ohe__block_62,0.0004269326
ohe__block_164A,0.00042532492
ohe__block_33,0.0004252134
ohe__block_694,0.0004236935
ohe__block_323,0.00042357077
ohe__block_726,0.0004197649
ohe__block_867A,0.00041936562
ohe__block_27B,0.00041616103
ohe__block_684B,0.00041526312
ohe__block_274B,0.00041489396
ohe__block_122,0.00041355984
ohe__block_372,0.00041144536
ohe__block_262,0.00041115127
ohe__block_672A,0.00040967
ohe__block_700A,0.00040755674
ohe__block_61B,0.00040730197
ohe__block_335,0.0004069807
ohe__block_223,0.00040561613
ohe__block_179,0.00040466682
ohe__block_613B,0.00040381626
ohe__block_26A,0.00040310225
ohe__block_14A,0.00040146348
ohe__block_10D,0.0004013333
ohe__block_808C,0.00039772756
ohe__block_269C,0.00039738583
ohe__block_194A,0.00039503377
ohe__block_417,0.0003949714
ohe__block_321,0.0003948519
ohe__block_401,0.00039471794
ohe__block_79B,0.00039379357
ohe__block_643,0.0003923555
ohe__block_262A,0.0003918938
ohe__block_355,0.00039069966
ohe__block_130A,0.00038987273
ohe__block_554,0.00038829283
ohe__block_312C,0.00038802848
ohe__block_7A,0.00038537875
ohe__block_332,0.000383395
ohe__block_895A,0.0003816825
ohe__block_416,0.00037907937
ohe__block_178D,0.00037735896
ohe__block_288D,0.0003770365
ohe__block_324,0.000375984
ohe__block_268D,0.00037580382
ohe__block_160,0.00037395602
ohe__block_181,0.00037379583
ohe__block_221,0.0003728195
ohe__block_888,0.00037277225
ohe__block_34,0.00037222262
ohe__block_257C,0.0003707566
ohe__block_168,0.0003689897
ohe__block_316A,0.00036788912
ohe__block_124,0.00036685128
ohe__block_666A,0.00036624228
ohe__block_588,0.00036431043
ohe__block_521,0.00036219732
ohe__block_724,0.00036217057
ohe__block_139A,0.00036079905
ohe__block_10B,0.00036073453
ohe__block_693,0.00036036194
ohe__block_503,0.00035942942
ohe__block_352C,0.0003594114
ohe__block_60,0.00035741823
ohe__block_177,0.0003562269
ohe__block_849,0.000356176
ohe__block_193,0.00035545081
ohe__block_279C,0.00035482194
ohe__block_308,0.00035429263
ohe__storey_range_25 TO 27,0.00035380892
ohe__block_813,0.00035148996
ohe__block_138,0.00035027848
ohe__block_314,0.0003502688
ohe__block_443A,0.00034889852
ohe__block_267,0.00034865108
ohe__block_264,0.00034824398
ohe__block_8A,0.00034818982
ohe__block_219C,0.00034648957
ohe__block_851,0.00034631282
ohe__block_649,0.00034559093
ohe__block_678C,0.00034507253
ohe__block_106,0.0003429934
ohe__block_147,0.00034290587
ohe__block_153A,0.00034287086
ohe__block_178,0.0003414006
ohe__block_543,0.0003408708
ohe__block_852,0.00034064305
ohe__block_18,0.0003404632
ohe__block_108C,0.0003388808
ohe__block_13,0.00033887228
ohe__block_472,0.00033880168
ohe__block_8,0.00033789643
ohe__block_186,0.00033779207
ohe__block_36,0.00033715353
ohe__block_63A,0.00033617046
ohe__block_297,0.00033561993
ohe__block_767,0.00033561658
ohe__block_302A,0.00033522295
ohe__block_157B,0.0003349834
ohe__block_302B,0.0003348214
ohe__block_10,0.00033420118
ohe__block_322,0.00033415906
ohe__block_253,0.00033263242
ohe__block_201,0.00033243527
ohe__block_448,0.0003321081
ohe__block_184,0.00033151242
ohe__block_130,0.00033074064
ohe__block_61C,0.0003300408
ohe__block_315B,0.00032931071
ohe__block_239,0.00032891225
ohe__storey_range_16 TO 18,0.0003282202
ohe__block_574,0.00032622094
ohe__block_511,0.00032591593
ohe__block_8B,0.0003256714
ohe__block_234,0.00032495847
ohe__block_788,0.00032478492
ohe__block_5,0.00032433477
ohe__block_648,0.00032391635
ohe__block_413A,0.00032288444
ohe__block_373,0.00032284352
ohe__block_406,0.00032271564
ohe__block_38,0.00032230618
ohe__storey_range_46 TO 48,0.00032222216
ohe__block_245,0.0003220895
ohe__block_240A,0.00032117244
ohe__block_157C,0.00032102675
ohe__block_506,0.0003209495
ohe__block_161,0.00032079362
ohe__block_668,0.0003206384
ohe__block_16,0.00032016408
ohe__block_306D,0.0003198563
ohe__block_928,0.00031965555
ohe__block_292,0.00031844544
ohe__block_323A,0.0003182645
ohe__block_152,0.0003180392
ohe__block_121,0.00031785312
ohe__block_439,0.0003171982
ohe__block_214,0.0003146978
ohe__block_213B,0.00031432853
ohe__block_19,0.0003143189
ohe__block_126A,0.00031376156
ohe__block_188D,0.0003135066
ohe__block_685,0.00031187918
ohe__block_174,0.00031176436
ohe__block_111A,0.00031023572
ohe__block_415C,0.0003099218
ohe__block_79C,0.00030913734
ohe__block_679,0.00030863957
ohe__block_316D,0.00030861297
ohe__block_615,0.0003083147
ohe__block_28D,0.00030755167
ohe__block_15,0.00030727504
ohe__block_729,0.00030651366
ohe__block_63B,0.00030636208
ohe__block_38B,0.0003061289
ohe__block_163A,0.00030549604
num__walking_convenience,0.00030481897
ohe__block_131B,0.00030405723
ohe__block_927,0.0003036326
ohe__block_906,0.00030350033
ohe__block_28C,0.0003032608
ohe__block_997C,0.00030308263
ohe__block_280A,0.0003027565
ohe__block_445,0.00030191097
ohe__block_265,0.0002990058
ohe__block_768,0.00029772558
ohe__block_288E,0.000297698
ohe__block_285A,0.00029720756
ohe__block_116A,0.0002971467
ohe__block_105,0.00029692161
ohe__block_228B,0.00029647903
ohe__block_286B,0.0002963878
ohe__block_296,0.00029636305
ohe__block_505,0.000295841
ohe__block_667D,0.00029582178
ohe__block_238,0.0002948432
ohe__block_710,0.00029478356
ohe__block_26B,0.00029468825
ohe__block_295B,0.00029451738
ohe__block_626,0.00029398274
ohe__block_304,0.00029326632
ohe__block_785,0.0002930806
ohe__block_420,0.00029303218
ohe__block_117,0.0002928058
ohe__block_935,0.00029184652
ohe__block_202,0.0002916329
ohe__block_302D,0.00029151887
ohe__block_862,0.00029126887
ohe__block_354C,0.0002912042
ohe__block_653A,0.00029062055
ohe__block_162,0.00029028463
ohe__block_158B,0.0002896572
ohe__block_700C,0.00028939958
ohe__block_35,0.000289262
ohe__block_273,0.00028814242
ohe__block_168D,0.00028808022
ohe__block_321A,0.00028803915
ohe__block_149,0.00028630765
ohe__block_423,0.00028471538
ohe__block_133,0.00028441555
ohe__block_59,0.00028217153
ohe__block_337,0.0002821121
ohe__block_125,0.00028198434
ohe__block_542,0.0002807693
ohe__block_262C,0.00028041587
ohe__block_408,0.00027992527
ohe__block_435C,0.00027936668
ohe__block_113A,0.00027889552
ohe__block_426,0.00027876568
ohe__block_508,0.00027849895
ohe__block_138C,0.00027818847
ohe__block_774,0.00027734978
ohe__block_686B,0.00027607218
ohe__block_134,0.00027598834
ohe__block_313,0.0002759251
ohe__block_680,0.00027535798
ohe__block_26C,0.00027527468
ohe__block_285C,0.00027499592
ohe__block_294,0.0002743566
ohe__block_393,0.0002742081
ohe__block_551,0.00027379987
ohe__block_791,0.00027378064
ohe__block_119,0.00027266983
ohe__block_760,0.0002724163
ohe__block_75B,0.0002722999
ohe__block_803A,0.0002722066
ohe__block_796,0.00027211447
ohe__block_405,0.00027200798
ohe__block_289A,0.00027197818
ohe__block_658,0.00027192582
ohe__block_118D,0.0002718549
ohe__block_46,0.00027178266
ohe__block_517E,0.00027159954
ohe__block_677D,0.00027079953
ohe__block_466,0.0002705438
ohe__block_3,0.0002699328
ohe__block_463C,0.00026933296
ohe__block_72,0.00026886846
ohe__block_185,0.00026856532
ohe__block_241,0.0002675703
ohe__block_146,0.0002664612
ohe__block_871,0.00026640625
ohe__block_731,0.00026574483
ohe__block_257A,0.0002656178
ohe__block_166B,0.0002654436
ohe__block_671B,0.00026499538
ohe__block_467,0.00026429238
ohe__block_4C,0.0002642678
ohe__block_410,0.0002622136
ohe__block_327C,0.0002616476
ohe__block_95A,0.00026120248
ohe__block_278A,0.0002608846
ohe__block_459,0.0002603119
ohe__block_325,0.0002597978
ohe__block_247,0.0002592306
ohe__block_334,0.00025921004
